Aarão Paranhos
Clarindo Monteiro
Clarisse Brandão
Clarisse Velázquez
Cleiton Madureira
Clementina Coitinho
Clementina Quirós
Cleusa Sarabia
Clotilde Tabajara
Cláudio Norões
Clóvis Alcantara
Cosperranho Carvalho
Cristina Novais
Cristóvão Campello
Cristóvão Foquiço
Cristóvão Gallindo
Cristóvão Vega
Custódio Colaço
Custódio Siqueira
Cássio Carrillo
Cândida Onofre
Dalila Granja
Dalila Villela
Deise Queirós
Deise Villela
Delfim Quintanilla
Delfina Cantanhede
Delfina Chagas
Denise Quintero
Diamantino Barroso
Diamantino Covelhã
Dinarte Ulloa
Dionísio Lobato
Domingas Parahyba
Donata Benavides
Donato Páez
Dora Feijó
Dora Felgueiras
Doroteia Rodríguez
Doroteia Villégas
Dulce Alves
Dulce Tévez
Dália Chousa
Délia Freitas
Délia Guedes
Délia Torquato
Délio Cambaúva
Edite Barcelos
Edite Mansilla
Edmundo Jatobá
Edmundo Mendoça
Edmundo Salles
Eduarda Conde
Eduardo Lagoa
Elia Corvelo
Elia Pena
Elisabete Padilha
Eliseu Negromonte
Elsa Ornelas
Emanuel Piteira
Emídio León
Emídio Martinho
Emídio Moreira
Emídio Velasco
Emília Caldera
Emília Vasconcelos
Emílio Vilanova
Enia   Campos
Enia   Salgado
Enilda Esteves
Epaminondas Guedez
Epaminondas Rodríguez
Epaminondas Thamily
Ermelinda Abasto
Ermelinda Acatauaçu
Ermelinda Bulhões
Ermelinda Moura
Ernesto Saraíba
Esperança Cotrim
Estanislau Cipriano
Estefânia Bahia
Estefânia Guedella
Estela Casalinho
Ester Prado
Estêvão Miranda
Eudes Loio
Eugénio Tavera
Eulália Homem
Eunice Belén
Eunice Peroba
Eunice Pádua
Eva Melgaço
Evandro Trindade
Evangelista Rebouças
Evaristo Matos
Fabiana Fróis
Faustino Salgueiro
Fausto Marcondes
Felicidade Godói
Felicidade Lencastre
Felicidade Melgaço
Felícia Guilheiro
Ferdinando Baião
Ferdinando Rocha
Fernão Cordero
Fernão Parahyba
Fernão Salgado
Fernão Santos
Fernão Valim
Filena Granjeiro
Filena Quintero
Filena Ribas
Filinto Quintana
Filipa Porto
Filipe Brás
Filipe Caiapó
Filipe Pessanha
Filomena Peroba
Firmina Azambuja
Firmino Camilo
Flamínia Collaço
Florbela Carvalhosa
Floriano Guilheiro
Florinda Barbosa
Florinda Bicalho
Floripes Aquino
Florêncio Cruz
Flávio Guimaraes
Francisca Capanema
Francisca Capistrano
Francisca Montenegro
Francisco Gama
Francisco Álvaro
Frederica Chaves
Frederica Ferro
Frutuoso Castro
Fábia Torquato
Gabriel Guedes
Garibaldo Garcés
Gaspar Raminhos
Gaudêncio Gutiérrez
Genoveva Flores
Geraldo Boaventura
Geraldo Castanheira
Gerardo Paião
Gerardo Pinhal
Gerardo Pitangui
Gerardo Talhão
Gerardo Távora
Gerson Delgado
Gertrudes Cardim
Gerusa Cambezes
Gil Villalobos
Gilda Borja
Gilda Camacho
Ginéculo Cayado
Gisela Gonçalves
Glauco Valadares
Glauco Xavier
Gláuber Inácio
Gláucia Amorín
Gláucia Taveira
Gláucio Gravato
Gláucio Salles
Glória Castillo
Glória Mederos
Godofredo Pêssego
Godofredo Silva
Godofredo Téllez
Graciano Cunha
Graça Portela
Gregório Bensaúde
Gregório Mendoza
Greice Amarante
Greice Barbosa
Greice Palhares
Guadalupe Maciel
Guadalupe Soto Mayor
Gualdim Borges
Gualdim Quintais
Gualdim Salguero
Guaraci Manso
Gueda Taperebá
Gui Castilhos
Gui Esteves
Gui Filipe
Guida Arantes
Guida Natal
Guilherme Negrão
Guilherme Tavera
Guilhermina Capucho
Guiomar Salvado
Guterre Bulhão
Gávio Gomide
Hedviges Alencar
Heitor Carneiro
Helena Araújo
Helena Silva
Heloísa Acuña
Heloísa Chagas
Heloísa Maciel
Henrique Luz
Henrique Meireles
Herberto Amorín
Herberto Conceição
Herberto Maior
Herberto Suárez
Herculano Mendoça
Herculano Prada
Hermesinda Foquiço
Hermesinda Giménez
Hermesinda Guedes
Hermesinda Velasco
Hernâni Vigário
Higino Lustosa
Higino Valgueiro
Honorina Tabalipa
Honório Delgado
Horácio Medeiros
Hugo Zagallo
Humberto Hidalgo
Hélder Ruas
Iara Faria
Iara Suárez
Iberê Castellano
Iberê Novais
Ifigénia Bocaiúva
Ifigénia Noite
Ilduara Ramalho
Ilídio Flores
Ilídio Muniz
Ilídio Valladares
Inaiá Tomé
Ingrit Peixoto
Ingrit Ulhoa
Inês Torcato
Iolanda Coutinho
Iolanda Trindade
Iolanda Vides
Iraci Vianna
Iraci Álvarez
Irani Vergueiro
Irene Ribas
Irene Siebra
Isabel Caiado
Isadora Ribeiro
Isaura Freyre
Isilda Dorneles
Israel Alancastro
Itiberê Freyria
Itiberê Medeiros
Iuri Vargas
Iva Monsanto
Iva Ramalho
Iva Uchoa
Ivete Álvez
Jacinta Assumpção
Jacinto Jesús
Jacir Brites
Jacir Mangueira
Jacir Quiroga
Jacira Lustosa
Jadir Velasco
Jaime Cayubi
Jaime Nazário
Jamari Blanco
Jandaíra Laureano
Jandaíra Zalazar
Jandira Bernardes
Jerónimo, Jerônimo Cezar
Jerónimo, Jerônimo Zagallo
Joaquim Valadares
Jordana Assumpção
Jordana Bentes
Jordana Galvão
Jordão Aveiro
Jorge Barra
Josefina Mesquita
Josefina Paiacã
Josué Ochoa
Judas Dias
Judite Aragón
Judá Almeyda
Judá Canela
Judá Tomé
Juliano Milheiro
Juliano Vidal
Julieta Lemos
Justino Graça
Jutaí Vilalobos
Jutaí Villalobos
Juçara Ulloa
Jónatas Ferrera
Lara Bahía
Laura Camello
Laura Castel-Branco
Laís Neres
Leonel Neves
Leonir Cervera
Leonir Garrau
Leonir Piteira
Leopoldina Gentil
Leopoldo Quintana
Letícia Sabrosa
Levi Camelo
Levi Valério
Levindo Camacho
Levindo Paz
Leónidas Baião
Leônidas   Gallindo
Liedson Barreiro
Liedson Mendoça
Liliana Beça
Liliana Modesto
Lineu Bentes
Lopo Bezerril
Lopo Gonçalves
Lopo Pacheco
Luciana Arantes
Luciana Guimarães
Luciana Mena
Luciano Athayde
Lucília Quintana
Lurdes Canhão
Lurdes Sintra
Luís Monsanto
Lázaro Ferreyra
Léia Baião
Léia Garcia
Léia Valente
Lénia Jácome
Lígia Brasil
Lígia Inácio
Lília Teles
Lília Temes
Lívia Semedo
Lúcia Doutel
Lúcia Estrada
Madalena Seabra
Madalena Uchoa
Mafalda Camello
Mafalda Carqueijeiro
Mafalda Peláez
Magali Carrasco
Magali Meira
Magda Rego
Magda Sosa
Maiara Abasto
Mamede Nazário
Mamede Quinterno
Manuel Cachão
Manuel Filipe
Manuela Castelbranco
Mara Granja
Marcela Escobar
Marco Guimaraes
Marco Poças
Marcos Carvalhoso
Marcos Quirós
Margarida Fortunato
Margarida Sequera
Maria Pardo
Mariana Castellano
Mariano Sant'Anna
Marisa Zagalo
Marlene Camargo
Marlene Dâmaso
Marlene Tigre
Marli Castella
Marli Pardo
Marta Pinhal
Martinho Sánchez
Marília Café
Marília Resende
Maura César
Mauro Mieiro
Mauro Márquez
Maurício Guará
Mbicy Figueroa
Mbicy Madeira
Miguelina Gouveia
Mileide Alencar
Mileide Belchiorinho
Minervina Abelho
Minervina Sucupira
Miriam Goulart
Miru Blanco
Miru Ferreira
Moacir Bugallo
Moacir Gouveia
Moema Magallanes
Murici Barrios
Murici Pinto
Márcio Igrejas
Márcio Parahyba
Márcio Piragibe
Máximo Bastos
Mécia Salomão
Mónica Sotomayor
Napoleão Sosa
Natacha Malafaia
Natividade Amorín
Natividade Batista
Natália Terra
Nicanor Patrício
Nicanor Saraíba
Nicolas Salgado
Nicolau Ferrera
Nilza Garrau
Nilza Ramallo
Nilza Rosário
Noémia Vilaça
Nídia Herrera
Odilia Caldas
Odilia Espírito Santo
Odilia Moreyra
Ofélia Carijó
Olga Furtado
Olga Tigre
Olívia Taperebá
Olívia Villas Boas
Olívio Britto
Olívio Cantanhede
Olívio Maranhão
Ondina Noguera
Ordonho Abasto
Ordonho Neves
Orestes Corte-Real
Orestes Cortesão
Orestes Cortês
Orestes Mendes
Otília Zalazar
Palmira Carvalhais
Palo Portela
Palo Quirós
Pandora Ginjeira
Paraguaçu Câmara
Pascoal Foquiço
Patrícia Cortesão
Patrícia Marañón
Patrícia Novais
Patrícia Quental
Paulina Ruas
Paulino Lustosa
Paulo Guedelha
Pedro Bocaiúva
Pedro Cantanhede
Pedro Gentil
Penélope Carvalho
Peri Castelão
Piedade Barboza
Piedade Varanda
Polibe Brás
Priscila Silvera
Querubim Ramires
Quintiliana Valle
Quintino Cotrim
Quintino Grillo
Quirina Alvim
Quirino Moita
Quitéria Marins
Rafael Castanheira
Rafael Moreira
Rafaela Simões
Ramiro Chaves
Ramão Damasceno
Raoni Álvez
Raul Fragoso
Raul Valerio
Rebeca Aires
Rebeca Zambujal
Regina Larangeira
Reginaldo Madureira
Renan Lobo
Renata Gago
Ricardina Villela
Ricardo Gomide
Rita Guimaraens
Rita Mourão
Roberta Saldanha
Roberto Azambuja
Rodrigo Moreyra
Ronaldo Gomide
Roque Franca
Roque Gabeira
Roque Menna
Roquita Barcelos
Roquita Fuentes
Rosalina Tupinambá
Rosalinda Barcelos
Rosalinda Castelão
Rosana Quirós
Rosaura Felgueira
Rosaura Peralta
Rosália Antúnez
Rosália Cayado
Rubim Benevides
Rudá Pirajá
Rute Hilário
Rómulo Fragoso
Rómulo Simões
Rúben Cotegipe
Sabina Chaves
Sabino Dias
Salomão Castella
Salomão Galván
Salomé Carreira
Samuel Fernández
Samuel Higuera
Sancha Paixão
Sancho Bautista
Sancho Francia
Sancho Rocha
Sandoval Passarinho
Sandra Araújo
Santiago Bahia
Saul Aires
Sebastião Otero
Selma Paião
Serafina Neiva
Serafina Vasconcelos
Sidónio Morales
Sidónio Paranhos
Sidónio Pêcego
Sidônio   Tibiriçá
Silvana Castellano
Silvana Eanes
Silvério Durão
Silvério Madruga
Simeão Novais
Siquenique Cavalheiro
Siquenique Nascimento
Socorro Freire
Soeiro Sintra
Sofia Porciúncula
Solange Carvalhal
Solano Toledo
Soraia Bivar
Sérgio Capiperibe
Sérgio Castella
Sílvia Fortunato
Sílvia França
Sílvio Brito
Sílvio Pimienta
Tainá Homem
Tairine Antas
Tatiana Assis
Telmo Brito
Telo Canhão
Telo Garcia de Gondim
Teodora Castelo Branco
Teodora Fraga
Teodora Mendoza
Teodorico Aragón
Teodoro Peláez
Teresa Jiménez
Tiago Casquero
Tibúrcio Barateiro
Timóteo Ulhoa
Tobias Faro
Tomás Cerqueira
Tomásia Carvajal
Tomásia Fontoura
Tomé Olivares
Tristão Sequera
Tália Alancastre
Tália Quintela
Tânia Themes
Tércio Mattos
Ubajara Marroquim
Ubirajara Pasos
Ubiratã Pacheco
Urbano Conde
Uriel Castelhano
Valdemar Lage
Valdemar Ríos
Valmor Hidalgo
Valéria Marañón
Valério Ferraço
Valério Salles
Vanda Chousa
Vanda Granjeia
Vanessa Mendoza
Vasco Canário
Vera Valiente
Veridiana Foquiço
Veridiana Piñero
Veridiano Cantanhede
Veridiano Marinho
Veríssimo Fogassa
Veríssimo Pacheco
Verónica Sant'Anna
Verónica Verguero
Vicente Cisneiros
Violeta Conde
Violeta Quinterno
Virgília Pavía
Virgílio Sánchez
Virgínia Galindo
Virgínia Terra
Viriato Villegas
Viridiana Furtado
Viridiano Coitinho
Vitória Eiró
Vivaldo Buenaventura
Vivaldo Zagallo
Viviana Madruga
Viviana Marins
Vlademiro Camelo
Vlademiro Cortês
Vânia Jaguariúna
Vânia Santarém
Vítor ou Victor Borba
Vítor ou Victor Valadares
Xerxes Toledo
Xico Nogueira
Xico Roriz
Ximena Girã
Ximeno Cortês
Xênia   González
Zara Ribas
Zeferino Tévez
Zidane Álvares
Zilda Azevedo
Zita Tabalipa
Zoraide Garcia de Gondim
Zoraide Hipólito
Zoraide Paes
Zubaida Vasques
Zuleide Barretto
Zulmira Hierro
Zózimo Dias
Ágata Graça
Ágata Igrejas
Átila Marrero
Ângela Becerril
Ângela Cuaresma
Ângela Lemes
Ângela Reino
Érica Onofre
Ítala Guedes
Ítalo Açores
Óscar Bethecourt
